timestamp_greece,rss_MB,MemoryObjectSendStream,MemoryObjectStreamState,Event,_AsyncGeneratorContextManager,_GeneratorContextManager,TaskState
2025-10-28 15:45:20,18.25,0,0,43,0,79,50
2025-10-28 15:45:26,18.25,0,0,43,0,79,50
2025-10-28 15:45:31,18.25390625,0,0,43,0,79,50
2025-10-28 15:45:36,18.2578125,0,0,43,0,79,50
2025-10-28 15:45:41,18.265625,0,0,43,0,79,50
2025-10-28 15:45:46,18.265625,0,0,43,0,79,50
2025-10-28 15:45:52,18.26953125,0,0,43,0,79,50
2025-10-28 15:45:57,18.26953125,0,0,43,0,79,50
2025-10-28 15:46:02,18.26953125,0,0,43,0,79,50
2025-10-28 15:46:08,18.26953125,0,0,43,0,79,50
2025-10-28 15:46:13,18.26953125,0,0,43,0,79,50
2025-10-28 15:46:18,18.2734375,0,0,43,0,79,50
2025-10-28 15:46:23,18.2734375,0,0,43,0,79,50
2025-10-28 15:46:29,18.2734375,0,0,43,0,79,50
2025-10-28 15:46:34,18.2734375,0,0,43,0,79,50
2025-10-28 15:46:39,18.2734375,0,0,43,0,79,50
2025-10-28 15:46:44,18.27734375,0,0,43,0,79,50
2025-10-28 15:46:50,18.27734375,0,0,43,0,79,50
2025-10-28 15:46:55,18.28125,0,0,43,0,79,50
2025-10-28 15:47:00,18.28125,0,0,43,0,79,50
2025-10-28 15:47:05,18.28515625,0,0,43,0,79,50
2025-10-28 15:47:11,18.28515625,0,0,43,0,79,50
2025-10-28 15:47:16,18.2890625,0,0,43,0,79,50
2025-10-28 15:47:21,18.2890625,0,0,43,0,79,50
2025-10-28 15:47:26,18.29296875,0,0,43,0,79,50
2025-10-28 15:47:32,18.29296875,0,0,43,0,79,50
2025-10-28 15:47:37,18.29296875,0,0,43,0,79,50
2025-10-28 15:47:42,18.29296875,0,0,43,0,79,50
2025-10-28 15:47:47,18.296875,0,0,43,0,79,50
2025-10-28 15:47:53,18.296875,0,0,43,0,79,50
2025-10-28 15:47:58,18.296875,0,0,43,0,79,50
2025-10-28 15:48:03,18.296875,0,0,43,0,79,50
2025-10-28 15:48:08,18.296875,0,0,43,0,79,50
2025-10-28 15:48:14,18.30078125,0,0,43,0,79,50
2025-10-28 15:48:19,18.30078125,0,0,43,0,79,50
2025-10-28 15:48:24,18.30078125,0,0,43,0,79,50
2025-10-28 15:48:29,18.33203125,0,0,43,0,79,50
2025-10-28 15:48:35,18.33203125,0,0,43,0,79,50
2025-10-28 15:48:40,18.33203125,0,0,43,0,79,50
2025-10-28 15:48:45,18.33203125,0,0,43,0,79,50
2025-10-28 15:48:50,18.3359375,0,0,43,0,79,50
2025-10-28 15:48:56,18.3359375,0,0,43,0,79,50
2025-10-28 15:49:01,18.3359375,0,0,43,0,79,50
2025-10-28 15:49:06,18.3359375,0,0,43,0,79,50
